RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type,Review
"8062431","The","08/15","","","Tote Augen","1982","0","w","","Cassette",  ""
"120447","","100 Flowers","","","100 Years of Pulchritude","1990","7","o","","MP3",  ""
"442990","","125, Rue Montmartre","","","125, rue Montmartre","2000","7","o","","MP3",  ""
"10294357","","12 Rods","","","I Wish You Were a Girl","1998","0","w","","CD",  ""
"1048965","","1348","","","Six Girls in Search of a Heaven","1988","0","o","","MP3",  ""
"408149","","1/3 Octave Band","","","Fading Light From Distant Suns","2002","0","w","","CD-R",  ""
"342803","","1/3 Octave Band","","","The System Likes You and Wants to Be Your Friend","2003","0","w","","CD-R",  ""
"114577","","1999 AFCM Ensemble","","","Piano Quintet; String Trio","2000","0","w","","CD",  ""
"877003","","2+2=5","","","Into the Future","1984","0","w","","LP",  ""
"3222721","","34 Vampires","","","34 Vampires","1991","0","w","","Cassette",  ""
"8496147","","3 Teens Kill 4","","","No Motive","2017","0","o","","MP3",  ""
"794803","","3 Teens Kill 4","","","No Motive","1984","7","o","","MP3",  ""
"506778","","400 Blows","","","If I Kissed Her (I'd Have to Kill Her First)","1984","0","w","","LP",  ""
"11110","","400 Blows","","","The Good Clean English Fist","1985","5","o","","MP3",  ""
"1247865","","400 Blows","","","Yesterday, Today, Tomorrow, Forever. A Retrospective: 1982 - 1985","1989","0","w","","LP",  ""
"3680603","","6.3","","","Humeur &amp; Molecules","2001","0","w","","Cassette",  ""
"9327135","","64 Spiders","","","64 Spiders","1987","0","w","","Cassette",  ""
"373923","","8 Eyed Spy","","","8 Eyed Spy","1997","0","o","","MP3",  ""
"4468434","","9 Tage","","","Waif","1989","0","w","","Cassette",  ""
"914451","","A5","","","Erstausgabe","1980","0","w","","LP",  ""
"1703695","","Abelcain","","","The Garden","2005","0","w","","LP",  ""
"204164","","Abhorrence","","","Abhorrence","1990","8","o","","MP3",  ""
"134320","","Abscess","","","In Your Mind","1995","0","w","","CD",  ""
"331299","","Absolute Body Control","","","Absolute Body Control","1981","0","w","","Cassette",  ""
"753427","","Absolute Body Control","","","Figures","1983","0","w","","Cassette",  ""
"302029","","Absurd","","","Totenlieder","2003","6","o","","MP3",  ""
"22205","","Abyssic Hate","","","Suicidal Emotions","2000","0","w","","CD",  ""
"521357","","Acclimate","","","Miscreant","2003","0","w","","",  ""
"6108402","","Acronym","","","Yggdrasil","2014","0","w","","MP3",  ""
"1804496","The","Actor","","","Exploded View","1982","9","o","","MP3",  ""
"1088344","The","Actor","","","The Trumpett Years 1982-1984","1999","0","w","","CD-R",  ""
"2759451","","Actuel","","","Monuments","1984","0","w","","LP",  ""
"302822","","Ad Hominem","","","Climax of Hatred","2005","0","o","","MP3",  ""
"13932","","Adolescents","","","Adolescents","1981","0","u","","MP3",  ""
"471037","","Adorior","","","Author of Incest","2005","0","w","","CD",  ""
"189786","","Adramelch","","","Irae Melanox","1988","7","o","","MP3",  ""
"303030","","Adramelech","","","Grip of Darkness","1992","0","w","","Cassette",  ""
"114909","","Adramelech","","","Pure Blood Doom","1999","0","w","","CD",  ""
"2195043","","Ælab","","","Sparks Series","2000","0","w","","CD",  ""
"130250","","Afflicted","","","Ingrained","1990","0","w","","LP",  ""
"306620","","Agonized","","","Gods...","1991","8","o","","MP3",  ""
"201372","","Ah Cama-Sotz","","","La procesión de la sangre","2002","0","w","","CD",  ""
"101221","","Ah Cama-Sotz","","","Terra Infernalis","1999","0","w","","CD",  ""
"11279136","","Ahnnu","","","Pattern Play","2020","0","u","","MP3",  ""
"6371418","","Ahnnu","","","Perception","2015","6","u","","MP3",  ""
"13205","Pierre-Laurent","Aimard","","","György Ligeti Edition 3: Works for Piano - Études, Musica ricercata","1997","9","w","","MP3",  ""
"32276","","Ain Soph","","","Kshatriya","1988","7","o","","MP3",  ""
"7830430","","Airliner Series","","","Muisto","2012","0","w","","LP",  ""
"3526790","","A.I.Z.","","","Live","1987","0","w","","Cassette",  ""
"160002","","AKA","","","Red Therapy","1980","0","w","","LP",  ""
"10255530","Noël","Akchoté","","","Triadic Memo Pickups","2015","0","w","","MP3",  ""
"5911538","","Aktive Stagnation","","","Im Labyrinth Leerer Worte","1990","0","w","","Cassette",  ""
"4249340","","Aktive Stagnation","","","Was Sie Nicht Hören Wird Ihr Leben Verändern","1991","7","o","","MP3",  ""
"249724","","Akufen","","","Dada","2001","0","w","","LP",  ""
"618232","","Akufen","","","Psychometry Vol. 1","2001","0","w","","LP",  ""
"618237","","Akufen","","","Psychometry Vol. 3","2002","0","w","","LP",  ""
"1098001","","Alastis","","","Black Wedding","1990","0","w","","Cassette",  ""
"2348507","","Alban Berg Quartett","","","String Quartets Nos. 1-6","1987","0","w","","CD",  ""
"3505290","","Alberich","","","NATO-Uniformen","2010","7","o","","MP3",  ""
"146440","","Algebra Suicide","","","Big Skin","1986","0","w","","Cassette",  ""
"132722","","Algebra Suicide","","","The Secret Like Crazy","1987","7","o","","MP3",  ""
"282566","","Alio Die","","","Under an Holy Ritual","1992","0","w","","CD",  ""
"469724","","All","","","Überall","1999","0","w","","LP",  ""
"1490025","","Allegory Chapel Ltd.","","","Assaults on the Human Body","1990","0","w","","Cassette",  ""
"1185998","","Almost Human","","","No Style Music","1990","0","w","","Cassette",  ""
"257138","","Alva Noto","","","Transspray","2005","0","o","","MP3",  ""
"10262617","Oren","Ambarchi","","","Simian Angel","2019","0","w","","LP",  ""
"2856393","","AMM","","","Sounding Music","2010","0","w","","CD",  ""
"395195","","Ammer &amp; Einheit","","","Crashing Aeroplanes","2002","0","w","","CD",  ""
"7217826","","Analystic Investigations","","","Second Deployment","1984","5","o","","MP3",  ""
"142644","","Anenzephalia","","","Ephemeral Dawn","1995","7","o","","MP3",  ""
"219665","","Anenzephalia","","","Fragments of Demise","1993","0","o","","MP3",  ""
"6920169","","Anenzephalia","","","Instrumentalities (Singles Collection 1991-2008)","2014","8","o","","MP3",  ""
"4382954","","Anenzephalia","","","Kaltwelt","2012","7","o","","MP3",  ""
"142649","","Anenzephalia","","","Noehaem","2003","0","w","","CD",  ""
"1967613","L'","an III","","","Untitled","1987","0","w","","Cassette",  ""
"206331","","Antenne","","","#1","2000","0","w","","CD",  ""
"103605","","Anubi","","","Kai pilnaties akis užmerks mirtis","1997","0","w","","CD",  ""
"8459534","","Apathism","","","Eleven, Twelve, Thirteen ‎","2001","8","o","","MP3",  ""
"8461798","","Apathism","","","One-Ten","1998","0","o","","MP3",  ""
"5858012","","Apathism","","","Vol. 1","1995","0","o","","MP3",  ""
"8623227","","Apathism","","","Vol. 2","1996","0","o","","MP3",  ""
"8623211","","Apathism","","","Vol. 3","1997","0","o","","MP3",  ""
"3493522","","Aperture Science Psychoacoustics Laboratory","","","Songs to Test By: Portal 2 Soundtrack Volume 1","2011","7","o","","MP3",  ""
"6127457","","Aphex Twin","","","Computer Controlled Acoustic Instruments pt2","2015","0","o","","MP3",  ""
"3017","","Aphex Twin","","","drukqs","2001","6","u","","MP3",  ""
"156968","","Aphex Twin","","","Melodies From Mars","","0","w","","Cassette",  ""
"674685","","Après Guerre","","","Après guerre","1985","0","w","","LP",  ""
"483771","","Archon Satani","","","Virgin Birth","1991","0","w","","Cassette",  ""
